,trackName,artistName,albumName,populartySong,genres,populartyArtist
118,Love Antell,Gatorna tillhör oss,Du växer upp,21,[],16
119,N.W.A.,N.W.A. Greatest Hits,Straight Outta Compton - Extended Mix / Edit,59,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",64
120,Radical Face,Sunn,Sunn,70,"['indie folk', 'jacksonville indie', 'stomp and holler']",57
121,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Big Machine,75,"['neo mellow', 'permanent wave', 'pop rock']",70
122,Per Gessle,Gammal kärlek rostar aldrig,Ömhet,57,"['classic swedish pop', 'swedish pop']",48
123,Deportees,Islands & Shores,When Buildings Sleep,45,"['classic swedish pop', 'swedish alternative rock', 'swedish americana', 'swedish indie rock', 'swedish pop']",37
124,Mighty Oaks,Howl,Back To You,49,"['folk-pop', 'german indie', 'german indie folk']",52
125,in pages.,White,Missteps,20,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'soundtrack', 'vintage italian soundtrack']",63
126,First Aid Kit,The Lion's Roar,This Old Routine,52,"['swedish idol pop', 'swedish pop']",56
127,Allison Weiss,Remember When,Call Your Girlfriend (Robyn Cover),43,['electropowerpop'],26
128,Klara Keller,Höjdrädd,Höjdrädd,35,['swedish indie pop'],22
129,Macklemore & Ryan Lewis,The Heist,Make The Money,83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
130,Tomas Andersson Wij,"Splitter, Vol. 1",Stunder som den här,48,"['classic swedish pop', 'swedish alternative rock', 'swedish pop', 'swedish singer-songwriter']",41
131,Moto Boy,Everybody's running from something,Everybody's running from something,35,['swedish synthpop'],26
132,Petter,Mitt folk,Mitt folk,63,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",55
133,Shawn Mendes,MTV Unplugged,Never Be Alone - MTV Unplugged,86,"['canadian pop', 'pop', 'viral pop']",83
134,En drös poeter,Förbli en vinnare,Förbli en vinnare,14,['swedish indie pop'],4
135,MAJOR.,Honest,Honest,36,"['gothenburg hip hop', 'swedish reggae']",29
136,Imagine Dragons,Night Visions,Tiptoe,88,"['modern rock', 'rock']",86
137,Kanye West,808s & Heartbreak,Heartless,84,"['chicago rap', 'rap']",89
138,Orup,Händerna mot himlen,Händerna mot himlen,51,"['classic swedish pop', 'swedish pop', 'swedish soul']",44
139,Ida Redig,Allting som vi sa,Allting som vi sa,46,['swedish pop'],37
140,Moa Lignell,Different Path,When I Held Ya,48,['swedish pop'],39
141,The Outlaws,Best Of...Green Grass & High Tides,Green Grass & High Tides - Remastered,58,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",46
142,Bastille,All This Bad Blood,What Would You Do,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
143,Bo Kaspers Orkester,Så mycket Bo Kaspers Orkester,Världens ände,51,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",49
144,Billy Joel,Turnstiles,New York State of Mind,80,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",75
145,Thomas Stenström,Rör inte min kompis!,Tårar torkar långsamt,69,['swedish pop'],61
146,Ken Ring,Akustiken,Du och jag,48,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap pop']",42
147,Benny Andersson,Kristina från Duvemåla,Guldet blev till sand,51,"['classic swedish pop', 'folkmusik', 'swedish jazz', 'swedish pop']",42
148,Thomas Stenström,Dreamer,Blåjeans,69,['swedish pop'],61
149,Lukas Graham,Share That Love (feat. G-Eazy),Share That Love (feat. G-Eazy),58,"['danish pop', 'pop', 'scandipop']",69
150,The Shins,Wincing The Night Away,Australia,70,"['albuquerque indie', 'alternative rock', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'portland indie', 'stomp and holler']",60
151,Thomas Rusiak,Hiphopper,Hiphopper (feat. Teddybears Sthlm) - Single Edit,44,['swedish hip hop'],31
152,Miriam Bryant,Black Car (feat. ALMA),Black Car (feat. ALMA) - Acoustic,61,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",59
153,Bo Kaspers Orkester,Hund,En man du tyckte om,51,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",49
154,Édith Piaf,Eternelle,"Non, je ne regrette rien",65,"['chanson', 'torch song', 'vintage schlager']",58
155,STOR,Så mycket bättre 2018 - Tolkningarna,Gamla o grå,83,"['boy band', 'pop', 'post-teen pop', 'talent show']",83
156,Daniel Adams-Ray,Där regnbågen tar slut,Där regnbågen tar slut - BABA Remix,60,['swedish pop'],52
157,Tommy Körberg,Tommy Körberg - Judy min vän,En som du,54,['classic swedish pop'],45
158,Markus Krunegård,"I huvet på en idiot, i en bar, på en ö, i ett hav, på en ö, i en bar, i huvet på en idiot",O A O A E vi förlorade,51,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",46
159,Maia Hirasawa,"Though, I'm Just Me",Gothenburg,36,['swedish indie pop'],28
160,MisterWives,Never Give Up On Me,Never Give Up On Me,71,"['electropop', 'indie pop', 'indie poptimism', 'modern rock', 'nyc pop', 'pop rock']",60
161,Matoma,Old Thing Back (feat. Ja Rule and Ralph Tresvant),Old Thing Back (feat. Ja Rule and Ralph Tresvant),0,"['permanent wave', 'pop']",86
162,Ellen Sundberg,Du sålde min biljett - Ellen Sundberg sjunger Kjell Höglund,De fördömdas ö,40,['swedish americana'],30
163,Nationalteatern,Barn av vår tid,Men bara om min älskade väntar,52,"['classic swedish pop', 'danspunk', 'skansk musik', 'svensk progg', 'swedish prog']",44
164,I Am Nova,Strangers,Strangers,42,['deep pop edm'],36
165,Four Tops,The Definitive Collection,"I Can't Help Myself (Sugar Pie, Honey Bunch)",74,"['brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']",61
166,Robin Lukovic,Snälla bli min - Single,Snälla bli min,39,[],27
167,Wet,Wet,You're the Best - EP Version,83,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84
168,Sam & Dave,"Hold On, I'm Comin'","Hold On, I'm Comin'",68,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'soul', 'southern soul']",56
169,Canyon City,Midnight Waves,Firework,55,"['acoustic pop', 'indie folk', 'indiecoustica', 'neo mellow', 'pop rock', 'viral pop']",51
170,Sugarplum Fairy,Young & Armed,Sweet Jackie,42,['swedish indie rock'],27
171,Lady Sovereign,Jigsaw,So Human,47,[],34
172,Bastille,All This Bad Blood,Things We Lost In The Fire,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
173,Anna Graceman,Words,Words,38,['channel pop'],29
174,HONNE,Good Together,Good Together,1,"['pop', 'uk pop']",65
175,Max Jury,Numb,Numb,51,['new americana'],40
176,Bastille,All This Bad Blood,Pompeii,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
177,Lil Dicky,Professional Rapper,Pillow Talking (feat. Brain),71,"['comedy rap', 'pop rap', 'rap']",61
178,Zackarias,För Alla Nollor,För Alla Nollor,35,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",55
179,The Killers,Wonderful Wonderful,The Man,85,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",76
180,Eddie Vedder,Music For The Motion Picture Into The Wild,No Ceiling,67,"['acoustic rock', 'permanent wave', 'rock']",60
181,Massive Attack,Collected,Safe From Harm - 2006 Digital Remaster,70,"['big beat', 'downtempo', 'electronica', 'trip hop']",61
182,Ella Henderson,Chapter One,Ghost,84,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",67
183,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Stay with You,75,"['neo mellow', 'permanent wave', 'pop rock']",70
184,a-ha,Take on Me,Take on Me - Kygo Remix,95,['pop'],93
185,David Torstensson,27,The Way She Moves,0,[],0
186,KALEO,All the Pretty Girls,All the Pretty Girls,78,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",66
187,Macklemore & Ryan Lewis,The Heist,Victory Lap,83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
188,Stereophonics,You Gotta Go There To Come Back,Since I Told You It's Over,71,"['britpop', 'modern rock', 'pop rock', 'rock', 'welsh rock']",63
189,Gnarly Gibbs,Follow the Sun,Follow the Sun,48,['chill beats'],35
190,Pink Floyd,A Momentary Lapse Of Reason,Learning To Fly - 2011 Remastered Version,71,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",77
191,Anna Kajander,Sabla fin,Sabla fin,31,"['nordnorsk musikk', 'norske viser', 'norwegian indie']",19
192,Hov1,Gudarna på Västerbron,Auf wiedersehen,65,"['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']",64
193,Thomas Stenström,Rör inte min kompis!,Det här är inte mitt land,69,['swedish pop'],61
194,DJ Gollum,I'm a Passenger,I'm a Passenger - Radio Edit,68,"['eurodance', 'german dance', 'hands up', 'partyschlager']",60
195,Proleter,Feeding the Lions EP,Can't Stop Me,54,"['electro swing', 'nu jazz']",44
196,Loney Dear,Citadel Band,"Ignorant Boy, Beautiful Girl",33,['swedish indie pop'],29
197,Did,What I did,But we,52,"['classic swedish pop', 'dansband', 'danspunk']",45
