id,trackName,artistName,albumName,populartySong,genres,populartyArtist
17,Luffareblod,Thomas Stenström,Rör inte min kompis!,35,['swedish pop'],61
16,Sthlm Blvd,Thomas Stenström,Rör inte min kompis!,29,['swedish pop'],61
56,Längesen (feat. Veronica Maggio),Petter,Samlar ut den,53,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",59
57,Lev nu dö sen (feat. Vargas & Lagola),Petter,Lev nu,48,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",59
55,Logiskt (feat. Säkert!),Petter,God Damn It,41,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",59
64,Dom får mig aldrig levande (feat. Thomas Stenström),Petter,Varholmsgatan,38,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",59
81,LOVERMAN,Mwuana,LOVERMAN,59,"['swedish dancehall', 'swedish hip hop', 'swedish pop', 'swedish trap pop']",58
66,Bra för dig,estraden,Bra för dig,56,['swedish pop'],58
82,Bästis,Ana Diaz,Tröst och vatten,55,['swedish pop'],58
65,Sunnanvind,Mares,Sunnanvind,59,"['swedish idol pop', 'swedish pop', 'uppsala indie']",57
68,Allt du gör och att du finns,Mares,Allt du gör och att du finns,56,"['swedish idol pop', 'swedish pop', 'uppsala indie']",57
53,Anna,Hello Saferide,More Modern Short Stories From Hello Saferide,58,"['swedish hip hop', 'swedish pop rap']",56
76,I samma bil,Bo Kaspers Orkester,Hund,45,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",56
74,Jag är vacker ikväll,Bo Kaspers Orkester,Så mycket Bo Kaspers Orkester,34,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",56
75,Tiden läker ingenting,Bo Kaspers Orkester,New Orleans,19,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",56
77,Det blir bättre sen,Bo Kaspers Orkester,8,17,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",56
78,Innan klockan slagit tolv - Live på Cirkus,Bo Kaspers Orkester,Samling Sto - Gbg,10,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",56
13,100,Ana Diaz,Tröst och vatten,58,"['classic swedish pop', 'europop', 'swedish jazz', 'swedish pop', 'swedish soul']",55
11,Till slutet av augusti,Moonica Mac,Stark & Sårbar,54,"['swedish pop', 'swedish singer-songwriter']",55
39,Från balkongen,Oskar Linnros,Klappar och slag,48,"['swedish alternative rock', 'swedish hip hop', 'swedish pop', 'swedish soul']",55
10,Alaska/All aska,Moonica Mac,Alaska/All aska,47,"['swedish pop', 'swedish singer-songwriter']",55
