name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Korsängsgatan 6,56,2,3010,1800000,232143,2019-2-27,Västerås kommun,Korsängsgärdet,Bostadsrättslägenhet
Domkyrkoesplanaden 6A,62,3,3912,1725000,227689,2019-2-27,Västerås kommun,City,Bostadsrättslägenhet
Knotavägen 38,87,4,5976,895000,210287,2019-2-27,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Skogsduvevägen 3,57,2,4191,915000,216053,2019-2-27,Västerås kommun,Vetterslund,Bostadsrättslägenhet
Dragverksgatan 73,76,5,4418,1100000,214379,2019-2-27,Västerås kommun,Dragverksgatan 73,Bostadsrättslägenhet
Klockargatan 11A,79,3,3162,1850000,223329,2019-2-27,Västerås kommun,Klockartorp,Bostadsrättslägenhet
Västermalmsgatan 3,63,2,4021,1600000,225397,2019-2-27,Västerås kommun,Centrum/Oxbacken,Bostadsrättslägenhet
Ändestavägen  28,107,5,,2200000,,2019-2-27,Västerås kommun,Kungsåra,Friliggande villa
Krutkällarvägen 1,23,5,1294,700000,229787,2019-2-26,Västerås kommun,Karlsdal,Bostadsrättslägenhet
Drottninggatan 40H,92,5,4887,1800000,219459,2019-2-26,Västerås kommun,Lustigkulla,Bostadsrättslägenhet
Norrbygatan 3D,80,5,4699,1325000,216460,2019-2-26,Västerås kommun,Odensvi,Bostadsrättslägenhet
Blomstergatan 10,25,1,1764,750000,230000,2019-2-26,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
"Kungsfågelgatan 73, 1 tr",67,3,4520,665000,29881,2019-2-26,Västerås kommun,Råby,Bostadsrättslägenhet
Skjutbanegatan 10 A,79,3,4436,960000,212152,2019-2-26,Västerås kommun,Haga,Bostadsrättslägenhet
Vetterslundsgatan 22,77,5,4962,950000,212258,2019-2-26,Västerås kommun,Vetterslund,Bostadsrättslägenhet
Västra skepparbacken 7,113,4,5008,3550000,231416,2019-2-26,Västerås kommun,Stallhagen,Bostadsrättslägenhet
Vildrosgatan 31,101,5,5920,1495000,214729,2019-2-26,Västerås kommun,Önsta Gryta,Bostadsrättslägenhet
Ankargatan 35,41,2,2113,2190000,253415,2019-2-26,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Bösebergsvägen 8,70,5,,2500000,,2019-2-25,Västerås kommun,Tillberga,Villa
